movie,city,theater_count,estimated_city_gross
Border,Miami,50,$311.42
The Bling Ring,Miami,50,"$2,356.46"
Michael Clayton,Miami,50,"$19,781.77"
Dope,Miami,50,"$7,049.59"
A Walk Among the Tombstones,Miami,50,"$10,613.29"
Super Troopers 2,Miami,50,"$12,351.99"
Capote,Miami,50,"$11,597.65"
Awake,Miami,50,"$5,800.20"
The Hangover Part III,Miami,50,"$45,264.94"
Taken 2,Miami,50,"$56,421.50"
Big Momma's House,Miami,50,"$47,427.07"
Compliance,Miami,50,$128.54
Jigsaw,Miami,50,"$15,351.68"
Street Kings,Miami,50,"$10,658.10"
Machete Kills,Miami,50,"$3,230.74"
The Hurricane Heist,Miami,50,"$2,467.31"
The Counselor,Miami,50,"$6,847.72"
Filth,Miami,50,$13.85
Patriots Day,Miami,50,"$12,863.93"
National Security,Miami,50,"$14,428.69"
Charlie's Angels: Full Throttle,Miami,50,"$40,677.95"
Holmes & Watson,Miami,50,"$12,334.34"
Mother,Miami,50,$220.79
The Hustle,Miami,50,"$14,288.32"
Transporter 2,Miami,50,"$17,386.08"
Spy Game,Miami,50,$10.84
The Gambler,Miami,50,"$13,587.94"
Sabotage,Miami,50,"$4,239.46"
Hitman: Agent 47,Miami,50,"$9,064.06"
The Life of David Gale,Miami,50,"$7,904.71"
Scoob!,Miami,50,$882.88
Elektra,Miami,50,"$9,847.63"
The Guilty,Miami,50,$83.57
A Most Wanted Man,Miami,50,"$6,954.03"
Parker,Miami,50,"$7,107.09"
Death to Smoochy,Miami,50,"$3,370.99"
Gold,Miami,50,"$2,915.61"
Killer Elite,Miami,50,"$10,136.19"
Masterminds,Miami,50,"$7,002.30"
Baby Boy,Miami,50,"$11,592.40"
Taken 3,Miami,50,"$36,008.77"
The Man Who Wasn't There,Miami,50,"$3,023.65"
Rush Hour 3,Miami,50,"$56,531.10"
Lilya 4-Ever,Miami,50,$73.29
Crank: High Voltage,Miami,50,"$5,498.85"
Little Man,Miami,50,"$23,659.21"
Hotel Artemis,Miami,50,"$2,706.27"
Mean Creek,Miami,50,$243.65
Date Night,Miami,50,"$39,823.20"
Matchstick Men,Miami,50,"$14,889.20"
Unleashed,Miami,50,"$9,892.48"
Killshot,Miami,50,$6.86
American Animals,Miami,50,"$1,152.58"
Hannibal Rising,Miami,50,"$11,163.32"
Flawless,Miami,50,$484.21
All Good Things,Miami,50,$233.34
Kill the Irishman,Miami,50,$479.16
Kiss of the Dragon,Miami,50,"$14,864.45"
Gridiron Gang,Miami,50,"$15,504.98"
Animal Kingdom,Miami,50,$421.20
Get Hard,Miami,50,"$36,474.75"
Shaft,Miami,50,"$28,374.99"
Assassination Nation,Miami,50,$790.40
