movie,city,theater_count,estimated_city_gross
Elektra,New York,50,"$206,270.35"
The Guilty,New York,50,"$1,750.40"
A Most Wanted Man,New York,50,"$145,660.50"
Parker,New York,50,"$148,866.53"
Death to Smoochy,New York,50,"$70,609.44"
Gold,New York,50,"$61,070.90"
Killer Elite,New York,50,"$212,314.57"
Masterminds,New York,50,"$146,671.58"
Baby Boy,New York,50,"$242,816.61"
Taken 3,New York,50,"$754,246.75"
The Man Who Wasn't There,New York,50,"$63,333.99"
Rush Hour 3,New York,50,"$1,184,111.48"
Lilya 4-Ever,New York,50,"$1,535.05"
Crank: High Voltage,New York,50,"$115,179.99"
Little Man,New York,50,"$495,570.38"
Hotel Artemis,New York,50,"$56,686.09"
Mean Creek,New York,50,"$5,103.59"
Date Night,New York,50,"$834,144.51"
Matchstick Men,New York,50,"$311,871.98"
Unleashed,New York,50,"$207,209.77"
Killshot,New York,50,$143.71
American Animals,New York,50,"$24,142.22"
Hannibal Rising,New York,50,"$233,829.12"
Flawless,New York,50,"$10,142.38"
All Good Things,New York,50,"$4,887.52"
Kill the Irishman,New York,50,"$10,036.56"
Kiss of the Dragon,New York,50,"$311,353.67"
Gridiron Gang,New York,50,"$324,770.26"
Animal Kingdom,New York,50,"$8,822.48"
Get Hard,New York,50,"$764,007.13"
Shaft,New York,50,"$594,348.09"
Assassination Nation,New York,50,"$16,555.93"
Get Rich or Die Tryin',New York,50,"$261,807.03"
Shaft,New York,50,"$180,500.99"
Blue Ruin,New York,50,"$2,181.14"
Starsky & Hutch,New York,50,"$745,638.65"
Infernal Affairs,New York,50,"$1,433.68"
Taking Lives,New York,50,"$276,176.76"
Can You Ever Forgive Me?,New York,50,"$74,395.62"
Osmosis Jones,New York,50,"$114,898.46"
Taxi,New York,50,"$309,375.80"
Beirut,New York,50,"$42,414.14"
Catwoman,New York,50,"$339,723.60"
Andhadhun,New York,50,"$11,610.28"
Hustle & Flow,New York,50,"$187,611.28"
Derailed,New York,50,"$304,415.54"
Beast,New York,50,"$6,763.35"
Thoroughbreds,New York,50,"$23,921.00"
After the Sunset,New York,50,"$239,408.43"
CBGB,New York,50,$338.35
New York Minute,New York,50,"$118,459.88"
Veronica Mars,New York,50,"$28,047.59"
Sympathy for Mr. Vengeance,New York,50,$382.71
The Three Burials of Melquiades Estrada,New York,50,"$42,448.36"
The Happytime Murders,New York,50,"$174,976.47"
Stuber,New York,50,"$189,037.83"
True Story,New York,50,"$39,883.01"
Hostage,New York,50,"$292,719.11"
London Fields,New York,50,"$2,135.20"
Tangerine,New York,50,"$5,930.76"
Four Lions,New York,50,"$2,570.06"
Spun,New York,50,"$3,466.67"
The Sentinel,New York,50,"$306,584.07"
A Nightmare on Elm Street,New York,50,"$533,005.02"
Peter Rabbit,New York,50,"$973,930.13"
Safe,New York,50,"$144,856.33"
Fun with Dick and Jane,New York,50,"$932,348.67"
Max Payne,New York,50,"$343,839.03"
Redemption,New York,50,$295.39
Death Wish,New York,50,"$287,455.31"
Mindhunters,New York,50,"$37,863.79"
Mr. Brooks,New York,50,"$240,633.61"
The Watcher,New York,50,"$244,448.95"
State of Play,New York,50,"$312,814.15"
The Art of Self-Defense,New York,50,"$20,373.03"
Ride Along,New York,50,"$1,140,273.09"
Heist,New York,50,$399.19
The Producers,New York,50,"$163,748.30"
Baise-moi,New York,50,$48.95
Machine Gun Preacher,New York,50,"$4,552.11"
The Spirit,New York,50,"$167,163.52"
The Man from Nowhere,New York,50,$54.59
One for the Money,New York,50,"$223,211.62"
The House,New York,50,"$216,197.65"
'71,New York,50,"$10,721.45"
Extract,New York,50,"$91,383.49"
Romeo Must Die,New York,50,"$472,993.48"
Saw III,New York,50,"$678,044.16"
Gigli,New York,50,"$51,282.85"
Mortdecai,New York,50,"$64,270.45"
